MES,HORA,COLOR
1,0,grey
2,0,grey
3,0,grey
4,0,grey
5,0,grey
6,0,grey
7,0,grey
8,0,grey
9,0,grey
10,0,grey
11,0,grey
12,0,grey
1,1,#66b2ff
2,1,#66b2ff
3,1,#99ccff
4,1,#99ccff
5,1,#99ccff
6,1,#99ccff
7,1,#99ccff
8,1,#66b2ff
9,1,#66b2ff
10,1,#66b2ff
11,1,#66b2ff
12,1,#66b2ff
1,2,#3399ff
2,2,#66b2ff
3,2,#66b2ff
4,2,#99ccff
5,2,#99ccff
6,2,#66b2ff
7,2,#66b2ff
8,2,#66b2ff
9,2,#66b2ff
10,2,#66b2ff
11,2,#3399ff
12,2,#3399ff
1,3,#3399ff
2,3,#3399ff
3,3,#66b2ff
4,3,#66b2ff
5,3,#66b2ff
6,3,#66b2ff
7,3,#66b2ff
8,3,#66b2ff
9,3,#3399ff
10,3,#3399ff
11,3,#3399ff
12,3,#3399ff
1,4,#0073e6
2,4,#3399ff
3,4,#66b2ff
4,4,#66b2ff
5,4,#66b2ff
6,4,#3399ff
7,4,#66b2ff
8,4,#3399ff
9,4,#3399ff
10,4,#3399ff
11,4,#0073e6
12,4,#0073e6
1,5,#0073e6
2,5,#3399ff
3,5,#3399ff
4,5,#66b2ff
5,5,#66b2ff
6,5,#3399ff
7,5,#3399ff
8,5,#3399ff
9,5,#3399ff
10,5,#3399ff
11,5,#0073e6
12,5,#0073e6
1,6,#0073e6
2,6,#3399ff
3,6,#3399ff
4,6,#66b2ff
5,6,#66b2ff
6,6,#3399ff
7,6,#3399ff
8,6,#3399ff
9,6,#3399ff
10,6,#3399ff
11,6,#0073e6
12,6,#0073e6
1,7,#0073e6
2,7,#0073e6
3,7,#3399ff
4,7,#66b2ff
5,7,#66b2ff
6,7,#3399ff
7,7,#3399ff
8,7,#3399ff
9,7,#3399ff
10,7,#3399ff
11,7,#0073e6
12,7,#0073e6
1,8,#0073e6
2,8,#3399ff
3,8,#66b2ff
4,8,#99ccff
5,8,#99ccff
6,8,#66b2ff
7,8,#66b2ff
8,8,#66b2ff
9,8,#66b2ff
10,8,#66b2ff
11,8,#3399ff
12,8,#0073e6
1,9,#66b2ff
2,9,#66b2ff
3,9,#99ccff
4,9,white
5,9,white
6,9,#99ccff
7,9,#99ccff
8,9,#99ccff
9,9,#99ccff
10,9,#99ccff
11,9,#66b2ff
12,9,#66b2ff
1,10,#99ccff
2,10,#cce5ff
3,10,white
4,10,#ffe0cc
5,10,#ffb366
6,10,white
7,10,white
8,10,white
9,10,#cce5ff
10,10,#cce5ff
11,10,#99ccff
12,10,#99ccff
1,11,white
2,11,white
3,11,#ffb366
4,11,#ffb366
5,11,#ffb366
6,11,#ffe0cc
7,11,white
8,11,white
9,11,white
10,11,white
11,11,white
12,11,white
1,12,#ffe0cc
2,12,#ffb366
3,12,#ffb366
4,12,#ff9933
5,12,#ff9933
6,12,#ffb366
7,12,#ffe0cc
8,12,#ffe0cc
9,12,#ffe0cc
10,12,#ffe0cc
11,12,#ffe0cc
12,12,#ffe0cc
1,13,#ffb366
2,13,#ff9933
3,13,#ff9933
4,13,#ff8000
5,13,#ff8000
6,13,#ffb366
7,13,#ffb366
8,13,#ffb366
9,13,#ffb366
10,13,#ffb366
11,13,#ffb366
12,13,#ffb366
1,14,#ffb366
2,14,#ff9933
3,14,#ff8000
4,14,#ff8000
5,14,#ff8000
6,14,#ffb366
7,14,#ffb366
